Text,Criteria,Level
The process of implementing the system is designed to be simple and efficient.,Implementation,Easy
The deployment phase requires little effort and minimal disruption to existing operations.,Implementation,Easy
The system is designed for seamless integration into the current infrastructure without complex adjustments.,Implementation,Easy
"The service will be an interoperable service with maintaining land data bank, Vis a Vis, building capacity of land management practitioners with administration, management of land, revenue and court.",Flexibility,Flexible
"Future technology changes, iterative prototyping, and agility in product design are generic expectations.",Flexibility,Flexible
Ability to design and develop technical specifications based on business requirements and communicate technical requirements with a diverse group of stakeholders.,Flexibility,Flexible
"SDV should adopt the agile development methodology. The entire work should be broken down into smaller chunks of MVPs (Minimum Viable Products), and every MVP should be demonstrated to the client before proceeding to the next MVP development.",Flexibility,Flexible
"The system will be designed with flexibility, scalability, extendibility, and multitenancy of the system for future expansion.",Flexibility,Flexible
The developed system should be modular enough to integrate future changes and scalable to handle a large user base from all over Nepal.,Flexibility,Flexible
"The solution architecture should be designed for better performance, flexibility, scalability, extensibility, and multitenancy for future expansion.",Flexibility,Flexible
"The system should be designed with flexibility, scalability, extensibility, and multi-tenancy for future expansion.",Flexibility,Flexible
"The solution architecture should be based on a 3-tier web-based architecture, supporting scalability and distributed microservices architecture.",Flexibility,Flexible
"Future technology changes, iterative prototyping, and agility in product design are the generic expectations.",Flexibility,Flexible
"The project is aligned with the Digital Bangladesh goal, focusing on iterative development and scalability for future updates.",Flexibility,Flexible
"The application allows customization for employee and family healthcare management within organizations, suggesting adaptable features.",Flexibility,Flexible
The platform allows customization of employee profiles and integration of features like leave approval and recharge management.,Flexibility,Flexible
"The platform includes scalability for small to large events, integrations with third-party services, and adaptable ticketing options.",Flexibility,Flexible
"Supports various learning modes (self-paced, instructor-led, hybrid) and integrations with third-party tools, indicating adaptability.",Flexibility,Flexible
"The system integrates multiple modules (budgeting, accounting, procurement, reporting) and supports seamless integration with payroll and HR systems.",Flexibility,Flexible
"The system supports features for different user roles (admin, teacher, student, parent) and includes modules for fee management, attendance, and academic tracking.",Flexibility,Flexible
"The system supports integration with diagnostic laboratories, secure data sharing, and customizable dashboards for patient care and hospital performance.",Flexibility,Flexible
"Integrates traffic management, public transportation, and commuter communication with APIs for third-party applications.",Flexibility,Flexible
"Users can create or update profiles with various job-specific details and provide feedback, reflecting adaptable user engagement features.",Flexibility,Flexible
"The system supports integration with multiple AI models and APIs, modular memory storage for various data formats, and customizable admin panels.",Flexibility,Flexible
The project scope includes the development of GIS-Analytic Interface application with modularity to integrate future components,Flexibility,Flexible
The system should allow modular expansion for future features using the current technology framework. Dashboards and reports can be customized based on department-specific requirements.,Flexibility,Flexible
The system should allow modular expansion for future features using the current technology framework.,Flexibility,Flexible
"The system should be web-based, platform-independent, and compatible with major browsers like Chrome, Firefox, and Opera, ensuring modular expansion for future needs",Flexibility,Flexible
"The system should adopt a Service-Oriented Architecture (SOA) to ensure flexibility and scalability, with modular expansion options for future development.",Flexibility,Flexible
The proposed system should allow modular expansion and seamless integration with other government systems,Flexibility,Flexible
"Payment system should be accessible from mobile and must include transaction log and audit trails. Considering the network infrastructure challenges in Bangladesh, the solution must support low bandwidth conditions. System should be highly scalable to accommodate current and future requirements within the scope mentioned in the ToR. ",Flexibility,Flexible
The project requires a scalable GIS system that allows integration with other governmental databases.,Flexibility,Flexible
The system must allow for future scalability to accommodate additional courts and jurisdictions.,Flexibility,Flexible
"System should be scalable and capable of delivering on user requests. The Consultant must ensure maximum concurrent connection and load
balancing capabilities, with hardware/software resources as deemed necessary,
for smooth operation of these activity",Flexibility,Flexible
"The system should be designed with flexibility in mind to accommodate future upgrades and the integration of new features, such as adding new payment methods or integrating with additional customs departments in the future.",Flexibility,Flexible
"The service will be an interoperable service with maintaining land data bank, Vis a Vis, building capacity of land management practitioners with administration, management of land, revenue, and court.",Flexibility,Flexible
The proposed system must support integration with government systems such as NID verification and payment gateways while remaining adaptable to future needs.,Flexibility,Flexible
"The ERP solution will be designed with flexibility to integrate with existing and planned IT solutions, addressing scalability and user needs.",Flexibility,Flexible
The system redesign includes ensuring flexibility for integration with third-party services and adaptation to user needs.,Flexibility,Flexible
The system must be designed to integrate with existing infrastructure while remaining adaptable for future needs.,Flexibility,Flexible
"Study and Analysis of the existing mobile court management system software along with its SRS 
and BRS. Modification of the existing SRS of Mobile court basing on the further requirements 
evolved.
",Flexibility,Flexible
"Provide technical solution service to create, manage and update sites to address user feedback and 
change requests; Adding new sites or Modules to address request to add closely related 
information service integrated to the portals. Upgrade/Change CSS, Template and other technology features in compliance with mobile 
responsiveness and other associated dependent requirements like incorporation of e Commerce/Publication/Commercial Platform oriented features.",Flexibility,Flexible
"The Consultant will directly report to the project director. All reports will be submitted to Project Director, including weekly progress updates and operational status reports.",Documentation,Full
"Prepare final operational and technical documentation, including requirements documentation, technical documentation, source code, data flow diagrams, and both hard copies and soft copies.",Documentation,Full
"Relevant product documentation, including a detailed software requirement analysis, technical specifications, and software documentation, is required as deliverables.",Documentation,Full
The vendor must provide comprehensive training to officials of the Procuring Agency in the operation of the app and all reporting options.,Documentation,Full
"Develop an easy-to-understand system manual, installation manual, and user manual. Deliver a final version of the system along with all required documentation, including source code, user manual, and technical documentation.",Documentation,Full
"Prepare all the required documents: user manual, technical documents, and reports. Provide detailed information on handover, including training materials.",Documentation,Full
"Deliverables include a user manual, technical documentation, and complete source code. Knowledge transfer through training and final system documentation is also required.",Documentation,Full
"Delivered final version of the software along with properly documented source code, database & other required credentials, user manual (text and video) containing screenshots, and all technical documentation.",Documentation,Full
"Deliverables include Business Requirement Specification (BRS), System Requirement Specification (SRS), Functional Requirement Specification (FRS), system design document, and complete source code.",Documentation,Full
"Deliverables include technical documentation, user manuals, data migration documents, and recorded tutorials for users.",Documentation,Full
"The deliverables include technical proposals, project reports, and documentation for all major components of the Muktopaath platform.",Documentation,Full
"Deliverables include detailed Software Requirements Specification (SRS), system design documents, and user manuals for organizers and administrators.",Documentation,Full
"Deliverables include Software Requirements Specification (SRS), system design documents, user manuals, and training materials.",Documentation,Full
"Deliverables include Software Requirements Specification (SRS), system design documents, training materials, and user manuals.",Documentation,Full
"Deliverables include a detailed Software Requirements Specification (SRS), technical design documents, and user training materials.",Documentation,Full
"Deliverables include comprehensive documentation, including technical design, workflows, and user guidelines.",Documentation,Full
Deliverables include training materials and comprehensive technical documentation for all modules.,Documentation,Full
"The development plan specifies detailed technical guides, including architecture, database schema, and API design, ensuring comprehensive documentation.",Documentation,Full
"The supplier shall attach technical specifications, user manuals, and financial offers separately for submission.",Documentation,Full
"Training manuals must include high-quality technical and user documentation, including audiovisual methods implied in the training",Documentation,Full
"Vendor must deliver technical documents, including SRS, Data Dictionary, Use Cases, and Training Manuals, as part of the deliverables. Updates to training manuals must reflect any system changes during the support phase.",Documentation,Full
"Vendor must deliver technical documents, including SRS, Data Dictionary, and Use Cases, and provide regular updates to training manuals.",Documentation,Full
"Based on approved SRS and SDD vendor will prepare a
comprehensive development plan for the e-Service Application which should include
a schedule consisting development item wise start date, test date, review date,
completion date etc. At the development stage, vendor must follow the standard code
convention, code level documentations, header of each file, algorithms, interfaces,
code compression and APIs should be supplied with proper description and
documentations.",Documentation,Full
"The consulting firm must deliver high-quality documentation, including the SRS, user manuals, and architectural design documents, alongside training materials.",Documentation,Full
"The vendor must deliver comprehensive documentation, including user manuals, technical guides, and training materials",Documentation,Full
Service providers can generate easily and efficiently any type of necessary reports instantly using this system,Documentation,Full
Consultants shall submit quarterly reports outlining challenges faced and measures taken to address them.,Documentation,Full
"Comprehensive documentation, including manuals, training guides, and geospatial analysis protocols, must be delivered.",Documentation,Full
"Detailed project documentation must include user manuals, technical guides, and a record of all system changes.",Documentation,Full
"The vendor must provide full documentation including system design documents (SDD), user manuals, and technical support guides. This will include detailed API documentation, installation manuals, and integration guidelines to ensure smooth deployment and system interoperability.",Documentation,Full
"The Consultant will directly report to the project director. All reports will be submitted to Project Director, including weekly progress updates and operational status reports.",Documentation,Full
"Prepare comprehensive documents such as Software Requirement Specifications (SRS), design documents, and user manuals to support system deployment.",Documentation,Full
"The consultant will prepare technical documents such as Functional Requirement Specifications (FRS), workflow designs, and RFPs.",Documentation,Full
"Prepare comprehensive technical documents including SRS, Use Cases, Training Manuals, and Test Cases to support the system.",Documentation,Full
"The Consultant will directly report to the project director. All reports will be submitted to Project Director, including weekly progress updates and operational status reports.",Documentation,Full
"Comprehensive documentation, including system design documents, user manuals, and training guides, is essential for implementation.",Documentation,Full
"Implementation of this project needs a number of Goods, Intellectual services, and Physical services procurement. The project includes assessment of hardware sizing and all related software and hardware requirements.",Cost,High
"The firm shall verify and validate that all the requirements are met in terms of functionality, software security, and performance while delivering the system to the procuring entity by the designated consulting firms. Regular maintenance of the system, including troubleshooting and updates, is essential.",Maintenance,High
"The Consultant Firm will demonstrate experience of at least Seven (07) years in similar assignments of managing procurement, Designing, Developing, Installation, Integration of IT system.",Expertise,High
"Managing land is a multi-stakeholder issue involving multiple ministries and agencies, requiring coordination and integration of various components like Land Acquisition Management, Digital Land Record Management, and Land Administration Management System (LAMS).",Complex Projects,High
"Vendor will undertake responsibility for input validation controls, authorization/authentication, and other security controls. The app will be updated based on feedback received from the public domain via different social channels for six months. Vendor must also bear all fees and costs of uploading the app to Google Play Store and Apple Store.",Cost,High
"Vendor must provide all required technical support and maintenance till the end of the project timeline (June 2022). Any bugs or errors must be resolved immediately, ensuring the app runs smoothly.",Maintenance,High
"The firm must have a proven track record of at least 5 years in mobile application and web-based IT solution development, with competent full-time manpower in areas like system analysis, mobile app development, security, database management, and UX design.",Expertise,High
The objective is to develop a mobile application (for Android and iOS platforms) for Uttoron trainees to strengthen their learning on essential soft skills and address workspace-related challenges.,Requirements,Incomplete
"Payment milestones against deliverables: A detailed software requirement analysis and technical specifications (20% of the payment), three prototypes (20%), production-ready system (50%), and software documentation (10%).",Cost,High
Develop and update necessary software documentation to facilitate system maintenance and upgrades.,Maintenance,High
"At least 5 years of experience in software development, with 2 years in architecting cloud-based solutions, preferably with Microsoft Azure.",Expertise,High
"Develop a human rights incident reporting, monitoring, and verification system to process a greater volume of information for human rights reporting.",Requirements,Incomplete
Leverage existing OHCHR information systems and develop prototypes for web intake forms and other system components to accelerate learning and facilitate agreement on information exchange.,Complex Projects,High
"The cost of all licenses during the warranty period will be borne by the vendor including licenses required by the proposed application software during the development, hosting and production (including but not limited to the cost of IDE, databases, server OS, virtualization, orchestration, storage, network equipment and other software/hardware/platform/technology).",Cost,High
"The vendor must provide free support for a period of 5 years from the time of acceptance of the software by the Procuring Agency (Warranty support). During the warranty period, the vendor will be responsible for licensing, making necessary changes as well as fixing the bugs, if any.",Maintenance,High
Minimum Mandatory Eligibility Criteria: Bidder must be a Bhutanese IT firm with a minimum 3 years of active existence in software development. Minimum 2 Mobile Apps developed by the firm.,Expertise,High
"The consultant firm will formally propose the cost for including work along with a separate detailed financial proposal (Including tax, VAT, and others as per rule). The financial proposal will include all relevant expenditures related to the consulting services.",Cost,High
Provide support and maintenance service of the platform and mobile app including the purchased Domain and Hosting (minimum 1 TB) up to the project completion period (December 2023). Support & Maintenance will cover fixing all bugs and system errors.,Maintenance,High
"Firm must demonstrate its management capacity and have at least 5 years' experience in the industry, with specific expertise in digital training platforms and related technologies.",Expertise,High
"Develop and deploy an online training platform with interactive training content, including dynamic and customizable test or assessment systems, and a mobile application (Android).",Requirements,Incomplete
"The scope includes developing a robust multimedia content management system, live training sessions, and 50 different training modules covering various aspects such as environmental and financial risk management, good agricultural practices, and marketing.",Complex Projects,High
"The consultant firm must provide all technical and IT-related expertise, deploy mobile applications to the Play Store and App Store, and conduct workshops for knowledge transfer.",Cost,High
Provide a minimum 1-year support and maintenance service for the system from the date of contract signing.,Maintenance,High
"A team of IT professionals with strong theoretical and practical knowledge of IT, familiar with healthcare/medical-related web and mobile application development.",Expertise,High
The overall objective of this task is to design and develop STP-EHS web and mobile applications for health professionals to use during emergency services to provide quality service.,Requirements,Incomplete
"The system will include web and mobile applications with interactive features, REST API support, dynamic content management, and modular scalability to handle future changes and a large user base.",Complex Projects,High
"Development requires a detailed project plan, development tools, database requirements, and a risk management strategy, highlighting comprehensive and resource-intensive work.",Cost,High
"Team will ensure system testing at module integration and load levels. All necessary security tests at the application level architecture need to be conducted by the team. The project includes post-delivery maintenance tasks, including debugging and updates.",Maintenance,High
"Team must demonstrate its management capacity and experience in similar assignments, with a detailed list of personnel expertise and qualifications.",Expertise,High
"The project involves developing modules for dynamic form creation, SLA-based ticketing, multi-level inspection systems, and advanced user and role management features.",Complex Projects,High
"The financial proposal by the form should contain itemized cost, at least for the following broader deliverables: System analysis and requirements gathering cost; software development and testing cost; orientation training for User (IT team, different level wise officers & staffs and Job placement team); Data optimization & migration cost; and post-handover troubleshooting support & maintenance cost.",Cost,High
"Support & Maintenance: After final deployment and going live with the acceptance of the implementing organization, the support and maintenance service will start for extra 1 (one) year. Small development will provide within 6 hours and large development will provide within 2 days.",Maintenance,High
"Vendor must have experience in design, development, and implementation of at least 5 large-scale software projects, including one with AI/ML technology and one with bibliographic metadata standardization.",Expertise,High
"The objective is to digitize all land-related services and activities, transforming documents into error-free digitized forms with AI/ML-based advisory features.",Requirements,Incomplete
"The project involves advanced features like AI/ML-based advisors, blockchain authentication, multilingual support, and metadata-driven document management, indicating high complexity.",Complex Projects,High
"The solution includes high scalability, load management functionality, and compliance with industry best practices, requiring advanced architecture and significant investment.",Cost,High
Provide maintenance and improvement support for 3 years according to the agreed Service Level Agreement (SLA).,Maintenance,High
"The staffing requirements include positions such as Project Manager, Solution Architect, and Senior Software Engineer, indicating the need for specialized expertise.",Expertise,High
"The project includes biometric verification, integration with multiple external systems (NID, SIM databases), and advanced features like OCR and API-based operations.",Complex Projects,High
"The platform must include features like plagiarism detection, integration with multiple systems, mobile and web app development, and GDPR compliance, requiring significant investment.",Cost,High
"Provide 2 years support & maintenance service of the GREENLAND PROJECT e-learning platform from the date of contract signing, covering bug fixing and system errors.",Maintenance,High
"At least 7 years of professional experience in developing and implementing e-learning systems, with proven expertise in education, training, and EU projects.",Expertise,High
"The platform must support advanced features such as plagiarism detection, multi-format content compatibility, and tailored reporting, indicating significant complexity.",Complex Projects,High
"The firm must demonstrate its financial strength, including a turnover of at least BDT 2 crore and working capital/liquid assets of not less than BDT 50 lakhs, indicating high investment requirements.",Cost,High
"The contract includes 24 months of development, implementation, and maintenance, ensuring comprehensive post-deployment support.",Maintenance,High
"The firm must have 5 years' experience in software development and expertise in e-learning platforms, with evidence of managing at least two web-based applications for government or large-scale organizations.",Expertise,High
"The Muktopaath platform aims to provide an e-learning platform for skill development, digital literacy, and training content management for large-scale users.",Requirements,Incomplete
"The platform will host multiple e-learning modules, interactive features, and integrations with external systems, indicating a high level of complexity.",Complex Projects,High
"The budget will be based on the development, deployment, and post-deployment support requirements, involving a robust platform with integrations and analytics.",Cost,High
"Six months of post-deployment support, including bug fixes and system updates, with a helpdesk for resolving technical issues.",Maintenance,High
"The project requires a development team of software engineers, UI/UX designers, and quality assurance specialists with a focus on security and compliance.",Expertise,High
"The platform includes advanced features like QR-coded tickets, multiple payment integrations, real-time analytics, and scalability for high-traffic events.",Complex Projects,High
"The budget includes development, deployment, and post-deployment support, covering diverse integrations and scalability for 10,000 concurrent users.",Cost,High
"Six months of post-deployment support, including bug fixes, feature enhancements, and helpdesk services.",Maintenance,High
"Development involves software engineers, UI/UX designers, and quality assurance specialists for a robust LMS platform.",Expertise,High
"The system includes multimedia content support, integrations with video conferencing tools, APIs, and mobile apps, reflecting significant complexity.",Complex Projects,High
"The budget includes development, deployment, training, and one year of post-deployment support for an integrated financial management platform.",Cost,High
"The project includes one year of post-deployment support, covering bug fixes, system updates, and user training sessions.",Maintenance,High
"Development requires expertise in financial systems, integration with regulatory requirements, and adherence to international security standards (ISO 27001).",Expertise,High
"The system includes advanced functionalities like real-time financial reporting, role-based access control, and API integrations, indicating significant complexity.",Complex Projects,High
"The budget includes development, deployment, and training costs, with additional costs for post-deployment support and annual maintenance.",Cost,High
"Provide six months of post-deployment support, including bug fixes, updates, and additional training sessions if required.",Maintenance,High
"The project requires expertise in Python with Django, Angular for dynamic user interfaces, and database management with PostgreSQL.",Expertise,High
"The system integrates multiple functionalities, including attendance, fee management, academic tracking, and parent-teacher communication.",Complex Projects,High
"The budget includes costs for software development, hardware infrastructure, training, and post-deployment support.",Cost,High
"Six months of post-deployment support, including regular updates and bug fixes.",Maintenance,High
"The project requires expertise in healthcare regulations such as HIPAA and GDPR, and secure software development.",Expertise,High
"The system includes modules for patient management, EHR, billing, and real-time analytics, highlighting significant complexity.",Complex Projects,High
"The proposed budget includes development, hardware procurement, deployment, and ongoing maintenance.",Cost,High
Post-deployment support and system maintenance for one year.,Maintenance,High
"Requires IoT specialists, software engineers, and QA experts for system integration and analytics.",Expertise,High
"The system incorporates IoT-enabled sensors, real-time analytics, and multi-platform integration for urban transportation.",Complex Projects,High
"The application requires integration with various AI models, modular design, support for multiple data formats, and dual admin panels, indicating significant resource allocation.",Cost,High
"Ongoing maintenance includes updating AI models, managing API connections, and ensuring compatibility with various data formats.",Maintenance,High
"The project requires expertise in AI integrations, backend and frontend development, database design, and secure data management.",Expertise,High
"The system requires integration with AGI language models, multi-format data handling, and real-time API operations, highlighting its complexity.",Complex Projects,High
The vendor must have prior experience in delivering at least three similar projects for government organizations in the past three years.,Expertise,High
The supplier must provide a warranty for fault rectification or replacement during the specified warranty period.,Maintenance,High
The vendor must conduct an extensive load testing task taking above factors into consideration and submit a load testing result,Expertise,High
"The application/system should have complete embedded security measures against data hacking/tampering, data access, and data in transit",Maintenance,High
"The cost includes hardware procurement, software licensing, and personnel training, estimated at a significant level",Cost,High
"The vendor must ensure auto-backup and database archiving systems to address system recovery needs in case of disaster. Post-development support includes continuous health checks, tuning codes, and deploying support engineers onsite.",Maintenance,High
"The cost includes licensing, maintenance, and training, alongside hardware procurement for deployment. Payment milestones are tied to project phases, including 40% on the delivery of the final version.",Cost,High
"The vendor must conduct maintenance for field devices like CCTV, VMS, and VDS, and ensure recovery in case of failure.",Maintenance,High
"The project involves integration with multiple systems, including ITS field devices, and ensuring compliance with security standards.",Complex Projects,High
"The cost includes hardware procurement, software licensing, maintenance, and personnel training.",Cost,High
"The vendor must follow standard coding styles to produce high-quality code for further use of the code in terms of reusability, refactoring, task automation, language factors, etc.",Expertise,High
"Maintenance includes tasks such as fixing problems in the application within two days, addressing security issues within 24 hours, and ensuring periodic backups for disaster recovery. Vendor must provide Training of Trainers (ToT) for 200 trainers, training for 8000 users, and administration training for 10 individuals, accompanied by comprehensive training manuals and resources",Maintenance,High
"The cost includes hardware procurement, software licensing, and training for staff, alongside long-term maintenance of the system",Cost,High
The vendor is expected to integrate the e-service system with existing data collection and billing software to enhance operational efficiency,Complex Projects,High
The consulting firm should have a track record of at least 7 years in GIS-based web application development and experience in managing modern data centers.,Expertise,High
"The project involves integrating crowdfunding models (grants, debt, and equity) into a web platform with features like payment gateway integration and user role management.",Complex Projects,High
"The cost includes expenses for system development, server hosting, training, and maintenance support until the end of the RMTP project.",Cost,High
The vendor must conduct an extensive load testing task taking above factors into consideration and submit load testing results just after deployment,Complex Projects,High
"The vendor must provide maintenance and support services for a minimum of three years, including incident and problem management",Maintenance,High
"The team must include certified security experts, software engineers, and database administrators",Expertise,High
"The cost of the system includes server procurement, licensing, and training for all relevant stakeholders",Cost,High
The system processing shall be scalable to support the volume estimates for a period of 10 years at a 20% annual growth rate,Maintenance,High
Vendor must conduct an extensive load testing task taking above factors into consideration and submit load testing results,Expertise,High
"The selected vendor will require to provide maintenance and support service for this developed, deployed, piloted eGovernment/digital service application",Maintenance,High
The consultant team must include GIS experts with a minimum of 10 years of experience in geospatial data management.,Expertise,High
"Prepare comprehensive documentation including SRS, SDD, DFD, and Test Cases for system clarity and maintainability.",Documentation,Full
Team must include experts with a minimum of 10 years of experience in geospatial data management and IT systems.,Expertise,High
Design and develop a multi-tier application model that integrates with secured cloud infrastructure for data management.,Complex Projects,High
Development of multi-tiered systems with advanced features and secure infrastructure.,Complex Projects,High
